datetime,AtPressure,CO2,Current,Humidity,Infrared,Luminance,Power,Temperature1,UV1,Volt
2020-03-31 17:00:00,1005.75,408.475433349609,6.55172413793104,47.5068359375,7048,7096,118.275862068966,29.0971667221492,4,12.628545553034
2020-04-01 9:00:00,1009.60548789828,425.91768691119,64.232,56.1076899509804,67658.1568627451,63112.6274509804,800.16,29.0774510327507,5.17699998378754,12.5299997406006
2020-04-01 10:00:00,1009.52164870042,429.127027574476,68.5786516853933,52.3037967891484,83180.2857142857,78770.2197802198,861.123595505618,30.4623595034139,6.43022470259934,12.5297750247998
2020-04-01 11:00:00,1009.18904622396,425.559007917132,75.8536585365854,49.5453636532738,90660.225,87385.675,954.390243902439,31.3204877899914,7.1278048724663,12.5296339058295
2020-04-01 12:00:00,1008.46997070313,419.598770141602,117,47.06103515625,81940,79519,1480,32.1000003814697,6.4850001335144,12.5633331934611
2020-04-01 14:00:00,1006.45792994006,416.816927153489,123.849056603774,46.732455549569,48422.4137931034,46620.5517241379,1557.35849056604,31.7979310134362,3.79896550342954,12.587924633386
2020-04-01 15:00:00,1006.40340683486,417.812270439996,112.073446327684,45.4353081597222,37417.4444444444,33876.1666666667,1408.47457627119,31.9553331375122,2.76056180911118,12.5716382366116
2020-04-01 16:00:00,1006.83753119575,414.033279418945,58.6089743589744,46.564453125,15671.8,14102.7875,732.564102564103,30.3395000696182,1.1444999948144,12.5255771722549
2020-04-01 17:00:00,1007.43517224542,424.831909179688,8.51020408163265,49.9401506696429,3204.21428571429,2987.82142857143,157.551020408163,28.074642930712,0.240357143272247,12.4895916179735
2020-04-01 18:00:00,1008.109375,434.885356426239,-14.1344537815126,52.116691468254,257.412698412698,433.790322580645,178.319327731092,26.4861291147047,0.029677419052009,12.4720168474342
2020-04-01 19:00:00,1009.17501831055,431.73420715332,-16,54.013671875,18,231.5,200,25.3149995803833,0.004999999888241,12.4700002670288
2020-04-01 23:00:00,1011.30999755859,451.452056884766,-16,55.3427734375,18,154,200,23.1399993896484,0.009999999776483,12.3900003433228
