datetime,value
2020-03-31 17:00:00,12.628545553034002
2020-03-31 18:00:00,12.619010893853156
2020-03-31 19:00:00,12.609999656677246
2020-03-31 20:00:00,12.605251280289123
2020-03-31 21:00:00,12.59759068776326
2020-03-31 22:00:00,12.59000015258789
2020-04-01 1:00:00,12.5600004196167
2020-04-01 2:00:00,12.5600004196167
2020-04-01 3:00:00,12.539999961853027
2020-04-01 5:00:00,12.529999732971191
2020-04-01 8:00:00,12.529999732971191
2020-04-01 9:00:00,12.529999740600585
2020-04-01 10:00:00,12.529775024799818
2020-04-01 11:00:00,12.529633905829453
2020-04-01 12:00:00,12.5633331934611
2020-04-01 14:00:00,12.587924633386
2020-04-01 15:00:00,12.571638236611577
2020-04-01 16:00:00,12.525577172254904
2020-04-01 17:00:00,12.489591617973483
2020-04-01 18:00:00,12.472016847434164
2020-04-01 19:00:00,12.470000267028809
2020-04-01 23:00:00,12.390000343322754
2020-04-02 22:00:00,12.239999771118164
